#,平成２８年,医療施設調査,各年１０月１日,,,,,,,
#,下巻　第　１表　病院数，年次・都道府県別,,,,,,,,,
#,平成8年,11年,14年,17年,20年,23年,26年,27年,28年('16),
都道府県,1996年,1999年,2002年,2005年,2008年,2011年,2014年,2015年,2016年,人口10万対
全　国,9490,9286,9187,9026,8794,8605,8493,8480,8442,6.7
北海道,654,640,634,620,594,579,569,566,562,10.5
青　森,112,113,110,109,105,102,97,97,96,7.4
岩　手,110,110,109,107,98,92,91,91,93,7.3
宮　城,152,149,149,151,146,141,142,141,139,6
秋　田,86,82,80,78,78,75,72,70,69,6.8
山　形,69,69,69,70,70,68,68,68,68,6.1
福　島,165,156,152,147,145,130,128,127,128,6.7
茨　城,225,215,208,205,192,183,181,179,178,6.1
栃　木,119,115,118,118,113,109,109,108,107,5.4
群　馬,140,144,144,143,139,133,129,130,129,6.6
埼　玉,371,366,367,361,355,346,341,343,342,4.7
千　葉,304,299,296,287,284,279,284,285,286,4.6
東　京,704,684,681,667,648,643,642,648,651,4.8
神奈川,370,363,361,356,348,344,342,341,341,3.7
新　潟,136,138,141,139,137,130,131,132,131,5.7
富　山,118,114,114,115,113,110,107,107,106,10
石　川,128,120,114,109,102,101,97,97,95,8.3
福　井,98,93,91,86,77,72,70,70,68,8.7
山　梨,61,59,62,61,60,60,60,60,60,7.2
長　野,145,140,141,137,137,133,131,130,130,6.2
岐　阜,121,116,112,110,103,104,102,102,102,5
静　岡,183,180,182,189,184,186,182,180,181,4.9
愛　知,394,374,365,350,334,327,321,322,323,4.3
三　重,120,118,117,113,108,102,102,101,100,5.5
滋　賀,59,58,62,63,60,60,58,57,57,4
京　都,196,186,182,177,177,175,174,172,170,6.5
大　阪,591,575,566,552,541,534,530,531,523,5.9
兵　庫,349,347,349,350,353,348,353,353,350,6.3
奈　良,73,73,75,78,76,75,77,78,77,5.7
和歌山,95,93,91,91,92,92,86,86,83,8.7
鳥　取,42,44,46,45,46,45,45,45,44,7.7
島　根,63,61,59,58,57,54,52,51,51,7.4
岡　山,199,197,191,183,179,174,167,164,164,8.6
広　島,280,269,267,261,256,249,244,243,244,8.6
山　口,158,154,152,151,148,147,147,147,147,10.5
徳　島,132,134,130,123,119,114,113,113,112,14.9
香　川,121,114,107,105,96,93,90,91,90,9.3
愛　媛,161,157,156,153,146,144,143,142,141,10.3
高　知,150,148,144,141,140,137,130,131,130,18
福　岡,492,489,485,478,468,467,460,462,461,9
佐　賀,120,118,114,111,110,110,108,108,107,12.9
長　崎,180,177,173,168,165,160,156,154,151,11
熊　本,234,230,225,222,217,216,214,214,212,12
大　分,164,161,164,165,165,160,158,157,157,13.5
宮　崎,166,161,152,149,145,142,140,140,140,12.8
鹿児島,292,290,285,279,274,265,256,252,252,15.4
沖　縄,88,93,95,95,94,95,94,94,94,6.5
